ཀུམ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
གདགས | གདགས_མ་འོངས་པ།_ཐ་དད་པ+ཐོགས_མ་འོངས་པ།_ཐ་དད་པ+འདོགས_མ་འོངས་པ།_ཐ་དད་པ+བཏགས_མ་འོངས་པ།_ཐ་དད་པ+འདོགས_མ་འོངས་པ།_###
གདང | གདངས_ད་ལྟ་བ།_ཐ་དད་པ+གདོངས_ད་ལྟ་བ།_ཐ་དད་པ+གདངས_མ་འོངས་པ།_ཐ་དད་པ+གདོངས_མ་འོངས་པ།_ཐ་དད་པ+གདང_མ་འོངས་པ།_ཐ་དད་པ+གདང_ད་ལྟ་བ།_ཐ་དད་པ
གདངས | གདངས_འདས་པ།_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+གདང_འདས་པ།_ཐ་དད་པ+གདོངས_འདས་པ།_ཐ་དད་པ
གདབ | འདེབས_མ་འོངས་པ།_###+གདབ_མ་འོངས་པ།_ཐ་དད་པ+ཐོབ_མ་འོངས་པ།_###+འདེབས_མ་འོངས་པ།_ཐ་དད་པ+བཏབ_མ་འོངས་པ།_ཐ་དད་པ
གདམ | བདམ_མ་འོངས་པ།_ཐ་དད་པ+འདོམ_མ་འོངས་པ།_ཐ་དད་པ+འདེམ_མ་འོངས་པ།_ཐ་དད་པ+གདམ_མ་འོངས་པ།_ཐ་དད་པ
གདམས | གདམས_མ་འོངས་པ།_ཐ་དད་པ+འདོམས_མ་འོངས་པ།_ཐ་དད་པ+འདོམས_འདས་པ།_ཐ་དད་པ+གདམས_འདས་པ།_ཐ་དད་པ
གདལ | གདལ_ད་ལྟ་བ།_###+གདོལ_ད་ལྟ་བ།_ཐ་དད་པ+གདལ_ད་ལྟ་བ།_ཐ་དད་པ+བདལ_ད་ལྟ་བ།_ཐ་དད་པ+བདོལ_ད་ལྟ་བ།_ཐ་དད་པ
གདས | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གདིང | གདིང_མ་འོངས་པ།_ཐ་དད་པ+བཏིངས_མ་འོངས་པ།_ཐ་དད་པ
གདུ | གདུས_མ་འོངས་པ།_ཐ་དད་པ+གདུས_ད་ལྟ་བ།_ཐ་དད་པ+གདུ_མ་འོངས་པ།_ཐ་དད་པ+གདུ_ད་ལྟ་བ།_ཐ་དད་པ
གདུག | དུགས_ད་ལྟ་བ།_ཐ་དད་པ+གདུག_ད་ལྟ་བ།_ཐ་དད་པ+དུགས_མ་འོངས་པ།_ཐ་དད་པ+བདུགས_ད་ལྟ་བ།_ཐ་དད་པ+བདུག_ད་ལྟ་བ།_ཐ་དད་པ
གདུང | གདུངས_མ་འོངས་པ།_ཐ་མི་དད་པ+གདུངས_ད་ལྟ་བ།_ཐ་མི་དད་པ+གདུང_མ་འོངས་པ།_ཐ་མི་དད་པ+གདུང_ད་ལྟ་བ།_ཐ་མི་དད་པ+གདུང_མ་འོངས་པ།_###+གདུང_ད་ལྟ་བ།_###
གདུངས | གདུང_འདས་པ།_###+གདུང_འདས་པ།_ཐ་མི་དད་པ+གདུངས_འདས་པ།_ཐ་མི་དད་པ
གདུད | བཏུད_མ་འོངས་པ།_ཐ་དད་པ+འདུད_མ་འོངས་པ།_ཐ་དད་པ+གདུད_མ་འོངས་པ།_ཐ་དད་པ
གདུལ | བཏུལ_མ་འོངས་པ།_ཐ་དད་པ+ཐུལ_མ་འོངས་པ།_ཐ་དད་པ+གདུལ_མ་འོངས་པ།_ཐ་དད་པ+འདུལ_མ་འོངས་པ།_###+འདུལ_མ་འོངས་པ།_ཐ་དད་པ
གདུས | གདུ_སྐུལ་ཚིག_ཐ་དད་པ+གདུ_འདས་པ།_ཐ་དད་པ+གདུས_འདས་པ།_ཐ་དད་པ+གདུས_སྐུལ་ཚིག_ཐ་དད་པ
གདེག | འདེགས_མ་འོངས་པ།_ཐ་དད་པ+བཏེག_མ་འོངས་པ།_ཐ་དད་པ+གདེག_མ་འོངས་པ།_ཐ་དད་པ
གདེང | གདེང_མ་འོངས་པ།_ཐ་དད་པ+གདེང_ད་ལྟ་བ།_ཐ་དད་པ+གདེངས_ད་ལྟ་བ།_ཐ་དད་པ+གདེངས_མ་འོངས་པ།_ཐ་དད་པ
གདེངས | གདེངས_སྐུལ་ཚིག_ཐ་དད་པ+གདེང_སྐུལ་ཚིག_ཐ་དད་པ+གདེངས_འདས་པ།_ཐ་དད་པ+གདེང_འདས་པ།_ཐ་དད་པ
གདོངས | གདངས_སྐུལ་ཚིག_ཐ་དད་པ+གདོངས_སྐུལ་ཚིག_ཐ་དད་པ+གདང_སྐུལ་ཚིག_ཐ་དད་པ
གདོད | ཐོད_མ་འོངས་པ།_ཐ་དད་པ+བྱ་ཚིག_ཐ་དད་པ+གཏོད_མའོངསཔ_འབྲི་ཚུལ
གདོན | འདོན_མ་འོངས་པ།_ཐ་དད་པ+འདོན_མ་འོངས་པ།_###+གདོན_མ་འོངས་པ།_ཐ་དད་པ+བཏོན_མ་འོངས་པ།_ཐ་དད་པ+ཐོན_མ་འོངས་པ།_ཐ་དད་པ
གདོམས | འདེམ_སྐུལཚིག_འབྲི་ཚུལ
གདོལ | གདོལ_སྐུལ་ཚིག_ཐ་དད་པ+གདལ_སྐུལ་ཚིག_ཐ་དད་པ+གདལ_སྐུལ་ཚིག_###
གནག | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གནང | གནང_ད་ལྟ་བ།_ཐ་དད་པ+གནོངས_འདས་པ།_ཐ་དད་པ+གནང_འདས་པ།_ཐ་དད་པ+གནང_མ་འོངས་པ།_ཐ་དད་པ+གནོངས_ད་ལྟ་བ།_ཐ་དད་པ+གནོངས_མ་འོངས་པ།_ཐ་དད་པ
གནན | གནན_མ་འོངས་པ།_ཐ་དད་པ
གནར | གནར_ད་ལྟ་བ།_###+གནར_འདས་པ།_###+གནར_མ་འོངས་པ།_ཐ་མི་དད་པ+གནར_ད་ལྟ་བ།_ཐ་མི་དད་པ+གནར_མ་འོངས་པ།_###+གནར_འདས་པ།_ཐ་མི་དད་པ
གནས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གནོང | གནོང_མ་འོངས་པ།_ཐ་མི་དད་པ+གནོངས_ད་ལྟ་བ།_ཐ་མི་དད་པ+གནོང_ད་ལྟ་བ།_ཐ་དད་པ+གནོངས_མ་འོངས་པ།_ཐ་མི་དད་པ+གནོངས_ད་ལྟ་བ།_###+གནོང_ད་ལྟ་བ།_ཐ་མི་དད་པ+གནོང_མ་འོངས་པ།_ཐ་དད་པ+གནོངས_མ་འོངས་པ།_###
གནོངས | གནོང_སྐུལ་ཚིག_ཐ་དད་པ+གནོང_འདས་པ།_ཐ་མི་དད་པ+གནོངས_འདས་པ།_###+གནོངས_སྐུལ་ཚིག_ཐ་དད་པ+གནང_སྐུལ་ཚིག_ཐ་དད་པ+གནོངས_སྐུལ་ཚིག_###+གནོངས_འདས་པ།_ཐ་མི་དད་པ+གནོང_འདས་པ།_ཐ་དད་པ
གནོད | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ+བྱ་ཚིག_###
གནོན | གནན_ད་ལྟ་བ།_ཐ་དད་པ+ནོན_ད་ལྟ་བ།_ཐ་དད་པ+གནོན_ད་ལྟ་བ།_ཐ་དད་པ+མནན_ད་ལྟ་བ།_ཐ་དད་པ
གནོར | གནར_སྐུལ་ཚིག_ཐ་མི་དད་པ+གནར_སྐུལ་ཚིག_###
གནོས | ནོད_སྐུལ་ཚིག_ཐ་དད་པ+གནོས_སྐུལ་ཚིག_ཐ་དད་པ+མནོད_སྐུལ་ཚིག_ཐ་དད་པ+མནོས_སྐུལ་ཚིག_ཐ་དད་པ
གབ | གབ_ད་ལྟ་བ།_ཐ་དད་པ+གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+གོབ_མ་འོངས་པ།_ཐ་དད་པ+གོབ_ད་ལྟ་བ།_ཐ་དད་པ+གབ_མ་འོངས་པ།_ཐ་དད་པ+གབ_འདས་པ།_ཐ་དད་པ+གོབ_འདས་པ།_ཐ་དད་པ
གཙག | གཙག_མ་འོངས་པ།_###+འཚག_མ་འོངས་པ།_ཐ་དད་པ+གཙོགས_ད་ལྟ་བ།_ཐ་དད་པ+གཙག_ད་ལྟ་བ།_###+གཙག_མ་འོངས་པ།_ཐ་དད་པ+ཚོག_མ་འོངས་པ།_ཐ་དད་པ+གཙགས_ད་ལྟ་བ།_ཐ་དད་པ+གཙག_ད་ལྟ་བ།_ཐ་དད་པ+གཙོགས_མ་འོངས་པ།_ཐ་དད་པ+གཙགས_མ་འོངས་པ།_ཐ་དད་པ
གཙགས | གཙགས_འདས་པ།_ཐ་དད་པ+གཙག_འདས་པ།_ཐ་དད་པ+གཙོགས_འདས་པ།_ཐ་དད་པ+གཙག_འདས་པ།_###
གཙབ | གཙབ_ད་ལྟ་བ།_ཐ་དད་པ+གཙབ_མ་འོངས་པ།_ཐ་དད་པ+གཙབས_མ་འོངས་པ།_ཐ་དད་པ+གཙོབས_ད་ལྟ་བ།_ཐ་དད་པ+གཙབས_ད་ལྟ་བ།_ཐ་དད་པ+གཙོབས_མ་འོངས་པ།_ཐ་དད་པ
གཙབས | གཙབས_འདས་པ།_ཐ་དད་པ+གཙོབས_འདས་པ།_ཐ་དད་པ+གཙབ_འདས་པ།_ཐ་དད་པ
གཙི | གཙི_མ་འོངས་པ།_ཐ་དད་པ+གཙི_ད་ལྟ་བ།_ཐ་དད་པ+གཙིས_མ་འོངས་པ།_ཐ་དད་པ+བྱ་ཚིག_###+གཙིས_ད་ལྟ་བ།_ཐ་དད་པ
གཙིག | གཙིགས_མ་འོངས་པ།_ཐ་དད་པ+གཙིག_མ་འོངས་པ།_ཐ་དད་པ+གཙིག_ད་ལྟ་བ།_ཐ་དད་པ+གཙིགས_ད་ལྟ་བ།_ཐ་དད་པ
གཙིགས | གཙིགས_འདས་པ།_ཐ་དད་པ+གཙིག_སྐུལ་ཚིག_ཐ་དད་པ+གཙིག_འདས་པ།_ཐ་དད་པ+གཙིགས_སྐུལ་ཚིག_ཐ་དད་པ
གཙིར | བྱ་ཚིག_ཐ་དད་པ+འཚིར_མའོངསཔ_འབྲི་ཚུལ
གཙིས | གཙི_འདས་པ།_ཐ་དད་པ+གཙིས_འདས་པ།_ཐ་དད་པ+གཙིས_སྐུལ་ཚིག_ཐ་དད་པ+གཙི_སྐུལ་ཚིག_ཐ་དད་པ
གཙུབ | གཙུབ_ད་ལྟ་བ།_###+གཙུབ_མ་འོངས་པ།_ཐ་དད་པ+གཙུབ_ད་ལྟ་བ།_ཐ་དད་པ+གཙུབས_མ་འོངས་པ།_ཐ་དད་པ+གཙུབས_ད་ལྟ་བ།_ཐ་དད་པ+གཙུབ_མ་འོངས་པ།_###
གཙུབས | གཙུབ_སྐུལ་ཚིག_ཐ་དད་པ+གཙུབ_འདས་པ།_###+གཙུབ_འདས་པ།_ཐ་དད་པ+གཙུབ_སྐུལ་ཚིག_###+གཙུབས_སྐུལ་ཚིག_ཐ་དད་པ+གཙུབས_འདས་པ།_ཐ་དད་པ
གཙེ | གཙེ_མ་འོངས་པ།_ཐ་དད་པ+གཙེ_ད་ལྟ་བ།_ཐ་དད་པ+གཙེས_ད་ལྟ་བ།_ཐ་དད་པ+གཙེས_མ་འོངས་པ།_ཐ་དད་པ
གཙེར | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཙེས | གཙེས_འདས་པ།_ཐ་དད་པ+གཙེས_སྐུལ་ཚིག_ཐ་དད་པ+གཙེ_འདས་པ།_ཐ་དད་པ+གཙེ_སྐུལ་ཚིག_ཐ་དད་པ
གཙོག | འཚོག_མ་འོངས་པ།_ཐ་དད་པ+བཙོག_མ་འོངས་པ།_ཐ་དད་པ+བཙོག_འབྲི་ཚུལ+ཚོག_མ་འོངས་པ།_###
གཙོགས | གཙོགས_སྐུལ་ཚིག_ཐ་དད་པ+གཙགས_སྐུལ་ཚིག_ཐ་དད་པ+གཙག_སྐུལ་ཚིག_ཐ་དད་པ+གཙག_སྐུལ་ཚིག_###
གཙོབས | གཙབ_སྐུལ་ཚིག_ཐ་དད་པ+གཙབས_སྐུལ་ཚིག_ཐ་དད་པ+གཙོབས_སྐུལ་ཚིག_ཐ་དད་པ
གཞག | བཞག_མ་འོངས་པ།_ཐ་དད་པ+འཇོག_མ་འོངས་པ།_###+འཇོག_མ་འོངས་པ།_ཐ་དད་པ+ཞོག_མ་འོངས་པ།_ཐ་དད་པ+གཞག_མ་འོངས་པ།_ཐ་དད་པ
གཞབ | བཞབ_ད་ལྟ་བ།_ཐ་དད་པ+འཇོབ_མ་འོངས་པ།_ཐ་དད་པ+གཞབ_ད་ལྟ་བ།_###+འཇབ_མ་འོངས་པ།_ཐ་དད་པ+བཞབ_མ་འོངས་པ།_###+གཞབ_མ་འོངས་པ།_###
གཞའ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+བྱ་ཚིག_###
གཞར | གཞར_ད་ལྟ་བ།_###+གཞར_ད་ལྟ་བ།_ཐ་དད་པ+བཞོར_ད་ལྟ་བ།_ཐ་དད་པ+བཞར_ད་ལྟ་བ།_ཐ་དད་པ
གཞལ | གཞལ_མ་འོངས་པ།_ཐ་དད་པ+འཇོལ_མ་འོངས་པ།_ཐ་དད་པ+འཇལ_མ་འོངས་པ།_###+འཇལ_མ་འོངས་པ།_ཐ་དད་པ+བཅལ_མ་འོངས་པ།_ཐ་དད་པ
གཞིག | ཞིག_མ་འོངས་པ།_ཐ་དད་པ+འཇིག_མ་འོངས་པ།_ཐ་དད་པ+གཞིག_ད་ལྟ་བ།_ཐ་དད་པ+གཞིགས_མ་འོངས་པ།_ཐ་དད་པ+ཤིག_མ་འོངས་པ།_###+གཞིགས_ད་ལྟ་བ།_ཐ་དད་པ+བཤིག_མ་འོངས་པ།_###+གཞིག_མ་འོངས་པ།_ཐ་དད་པ
གཞིགས | གཞིག_སྐུལ་ཚིག_ཐ་དད་པ+གཞིགས_འདས་པ།_ཐ་དད་པ+གཞིགས_སྐུལ་ཚིག_ཐ་དད་པ+གཞིག_འདས་པ།_ཐ་དད་པ
གཞིབ | བཞིབ_མ་འོངས་པ།_ཐ་དད་པ+འཇིབ_མ་འོངས་པ།_ཐ་དད་པ+འཇིབས_མ་འོངས་པ།_ཐ་དད་པ
གཞིབས | བྱ་ཚིག_ཐ་དད་པ+འཇིབ_འབྲི་ཚུལ
གཞིལ | གཞིལ_མ་འོངས་པ།_ཐ་དད་པ+བཅིལ_མ་འོངས་པ།_ཐ་དད་པ+འཇིལ_མ་འོངས་པ།_ཐ་དད་པ
གཞུ | གཞུ_མ་འོངས་པ།_ཐ་དད་པ+གཞུས_ད་ལྟ་བ།_ཐ་དད་པ+གཞུས_མ་འོངས་པ།_ཐ་དད་པ+གཞུ_ད་ལྟ་བ།_ཐ་དད་པ
གཞུག | འཇུག_མ་འོངས་པ།_ཐ་དད་པ+ཆུག_མ་འོངས་པ།_ཐ་དད་པ+བཅུག_མ་འོངས་པ།_ཐ་དད་པ
གཞུར | གཞུར_སྐུལ་ཚིག_ཐ་དད་པ+བཞུར_ད་ལྟ་བ།_ཐ་དད་པ+བཞུར_སྐུལ་ཚིག_ཐ་དད་པ+བཞུར_མ་འོངས་པ།_ཐ་དད་པ+གཞུར_མ་འོངས་པ།_ཐ་དད་པ+གཞུར_ད་ལྟ་བ།_ཐ་དད་པ
གཞུས | གཞུས_འདས་པ།_ཐ་དད་པ+གཞུས_སྐུལ་ཚིག_ཐ་དད་པ+གཞུ_འདས་པ།_ཐ་དད་པ+གཞུ_སྐུལ་ཚིག_ཐ་དད་པ
གཞེན | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཞེར | གཟུགས་མི་འགྱུར་བ_ཐ་དད་པ
གཞེས | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ
གཞོག | གཞོག_མ་འོངས་པ།_ཐ་དད་པ+གཞོག_ད་ལྟ་བ།_ཐ་དད་པ+བཞོག_ད་ལྟ་བ།_ཐ་དད་པ+བཞོག_མ་འོངས་པ།_ཐ་དད་པ
གཞོགས | བྱ་ཚིག_ཐ་དད་པ+བཞོག_འབྲི་ཚུལ
གཞོབ | གཞབ_སྐུལ་ཚིག_###+གཞོབས_མ་འོངས་པ།_ཐ་དད་པ+གཞོབས_ད་ལྟ་བ།_ཐ་དད་པ+གཞོབ_ད་ལྟ་བ།_ཐ་དད་པ+གཞོབ_མ་འོངས་པ།_ཐ་དད་པ+གཞབ_སྐུལཚིག_འབྲི་ཚུལ
གཞོབས | གཞོབ_འདས་པ།_ཐ་དད་པ+གཞོབས_འདས་པ།_ཐ་དད་པ+གཞོབ_སྐུལ་ཚིག_ཐ་དད་པ+གཞོབས_སྐུལ་ཚིག_ཐ་དད་པ
གཞོམ | གཞོམ_མ་འོངས་པ།_ཐ་དད་པ+བཅོམ_མ་འོངས་པ།_ཐ་དད་པ+ཆོམ_མ་འོངས་པ།_ཐ་དད་པ+འཇོམས_མ་འོངས་པ།_ཐ་དད་པ
གཞོར | གཞར_སྐུལཚིག_འབྲི་ཚུལ
གཞོལ | གཟུགས་མི་འགྱུར་བ_ཐ་མི་དད་པ+གཟུགས་མི་འགྱུར་བ_###
གཞོས | འཇོ_སྐུལཚིག_འབྲི་ཚུལ
གཟག | གཟོགས_མ་འོངས་པ།_ཐ་མི་དད་པ+གཟགས_ད་ལྟ་བ།_ཐ་མི་དད་པ+གཟགས_ད་ལྟ་བ།_ཐ་དད་པ+གཟགས_མ་འོངས་པ།_ཐ་དད་པ+གཟགས_མ་འོངས་པ།_ཐ་མི་དད་པ+གཟག_ད་ལྟ་བ།_ཐ་དད་པ+གཟོགས_ད་ལྟ་བ།_ཐ་མི་དད་པ+གཟག_མ་འོངས་པ།_ཐ་དད་པ
